kata,sinonim
ngintip,ngadodoho
kapaehan,kapiuhan
medan,"tempat pasamian,lapang,tegal,tegalan"
megah,"weweg,mewah"
mekar,"beukah,ngabeukahan,bekeh"
beunta,teu sare
teu keuna,nyalahan
ngawengku,nyangkup
nyukupan,nyubadanan
menak,"priyayi,ningrat"
manara,munara
mencret,ngayer
ngahulengkeun,mikirkeun
ngamistikeun,ngudukuen
mistina,kuduna
samistina,sakuduna
ngapimilik,miboga
impi,impen
ngimpi,ngimpen
minggu,minggon
menta,nyungkeun
minoritas,pangsaeutikna
barang penta, menta menta
inum,nginum
minyak,lisah
miring,dengdek
sariga,maririp
misal,conto
misalna,contona
moderat,sinegar tengah
moderen,maju
muga-muga,mugia
bulak-balik,udar-ider,gudag-gidig
moral,tata krama,etika
ijid,bosen
sebel,murel
muadin tukang adzan
ampuh,"paten,mujarab,matih"
muncul,pecenghul,munjul
utah,ongkek
murah,mirah
bageur,barehan
ngambekan,ngabenduan
muslihat,akal-akalan,reka,perdaya
mustajab
musawarah,"badami,badanten"
urat,nadi
napkah,napakah
naas,"apes,sial"
ngaran,"wasta,nami"
kasohor,"kawentar,populer"
ngantosan,nungguan
napas,ambekan
boga nasib,nasibna
papatah,"piwuruk,piwejang,nasehat"
jatukrami,"nikah,kawin"
nikahan,ngawin
nikahkeun,ngawinkeun
ngeyong,mepende
nista,hina
nganistakeun,ngahinakeun
pangnistana,panghinana
kanistaan,kahinaan
boga nomer,"make nomer,nomeran"
teu aktip,nonaktip
norma,"aturan,tatanan,sistim"
jero hate,"hate leutik,manah"
nembang,ngawih
tembang,"kawih,lagu,hariring"
juru tembang,juru kawih
obat,ubar
ngobatan,ngubaran,ngalandongan
oper,ngoper
sorangan,nyalira
otak,uteuk
otot,sungsum
nyereng,ngotot
paceklik,paila
pacet,lentah
di,dina
kompak,adu manis
kaisukan,kaenjingan
ganjaran,pahala
aya ganjaranana,aya pahalana
ngepak,mungkus
make,"ngangge,nganggo"
kapake,"kaangge,kaanggo"
pakuan,aya pakuna
nempo,ningali
patempo-tempo,patingali-tingali
ngageroankeun,nyaurankeun
panyaur,panggero
talinga,nalingakeun
parna,wales
parkir,markir
pasang,"papasangan,masang"
pasti,"tangtu,tangtos"
nangtukeun,"nangtoskeun,netepkeun"
panangtuan,"panangtosan,panetepan"
katangtuan,"katangtosan,katetepan"
potong,"peunggas,keureut,penggel"
motongkeun,meunggaskeun
patok,"pancuh,pancang"
matok,mancuh
matokkeun,mancuhkeun
patri,solder
matri,nyolder
patriot,"pajuang,pahlawan"
patriotik,jiwa kapahlawanan
patroli,ronda
satia,"tuhu,nurut,taat"
pamatuk,pamacok
matuk,macok
matukan,macokan
udunan,mawuran
pantes,layak
dangdan,"dangdos,luis,ngaluis"
kacapean,kasusahan
rada asin,hanta
pinareup,susu
payung,pajeng
make payung,nganggo pajeng
mayungan,"majengan,nangtayunan"
kabagi,kabeulah
mencet,meuseul
lotek,pecel
merharikeun,paduli
nyekel,nyepengan
cekelan,cepengan
nyegat,ngahadang
mutuskeun,megatkeun
padet,pejel
madetkeun,mejelkeun
ngaliketkeun,ngentelkeun
kaliketan,kakentelan
parangi,"tabeat,ahlak,budi pakarti,sipat"
ngajerit,ngoceak
sadel kuda,sela
mencek,peucang
meleset,teu keuna
tiseureuleu,tisoledat
eupan,parab
ingu,piara
kapiara,kaurus
morosot,morosotkeun
polotot,molotot
kesangan,karingetan
tangkeup,rangkul
nangkeup,ngarangkul
nangkeupan,ngarangkulan
katangkeup,katangkul
tangkeupan,rangkulan
talupuh,palupuh
pamali,pantrangan
pendem,mendem
kapendem,"kakubur,katutupan"
mondokkan,mendekkan
mondokeun,mendekeun
motong,"ngeureut,menggel,meuncit"
kapotong,kapenggel
panghulu,lebe
pengki,pungki
pengkor,"pincang,pinced,cingkud"
bui,panjara
pojok,juru
kapeclengkeun,kapangpengkeun
pagelaran,helaran
utama,"poko,perlu,penting,utami"
merlukeun,"mentingkeun,meryogikeun"
minuhan,"nyumponan,nedunan"
meped,nyisi
paraji,indung beurang
tukang meuyeum,nu meuyeum
pakakas,"alat,parabot"
kacepretan,kaceretan
ngaleupasken,nyoplokkeun
perhatian,perhatosan
nu merhatikeun,nu merhatoskeun
hal,"sipat,kaayaan"
bangsa lelembut,jin
paribasa,paripaos
pariksa,parios
mariksa,marios
mariksakeun,marioskeun
pamariksa,pamarios
pamariksaan,"pamariosan,rasia"
perih,pedih
perkara,"perkawis,masalah,pasualan"
perlu,peryogi
kaperluan,kaperyogian
saperluna,saperyogina
alketip,karpet
sarua,"sami,siga"
persisi,pas
pribadi,person
personalia,kapagawean
kahiji,mimiti
gancang pisan,tarik pisan
pasisir,basisir
sore,sonten
mapatahan,nasehatan
perantara,makelar
miara,ngingon
nu miara,pamiara
pije,"ngurut,meuseul"
narik ati,mikat
pikiran,emutan
ngabagi,misahkeun
pipilih,palah-pilih
bogoh,kapincut
piuh,kapiuhan
injeum,nginjeum
pintas,mintas
sakilas,sapintas
pipis,kiih
rematik,encok
piting,miting
teko,poci
juru,pojok
poliandri,nyandung
poligami,nyandung
pulisi,kulisi
pondok,kobong
pamondokkan,pameutingan
mopulerkeun,ngenalkeun
amburadul,awut-awutan
as,solobong
motong,ngeureut
motongkeun,ngeureutkeun
kapotong,kakeureut
potongan,keureutan
potret,poto
dipotret,dipoto
rayat,nagara katut
pribumi,padumuk asli
masalah,"urusan,pasualan"
naek pangkat,promosi
puas,sugema
muaskeun,nyugemakeun
puasa,saum
publikasi,pengumuman
pias,pucet
mucetkeun,miaskeun
ruruntuk,ruruntuhan
muji,ngalem
teunggeul,gebug
neunggeul,ngagebug
pateunggeul-teunggeul,pagebug-gebug
neunggeulan,ngagebugan
neunggeulkeun,ngagebugkeun
kateunggeul,kagebug
teunggeulan,gebugan
nu neunggeul,"paneunggeul,panggebug"
pukul,tabuh
cabak,rampa
ngarampaan,nyabakan
lamur,rawun
nyaragamkeun,nyaruakeun
bingbang,"asa-asa,mandeg-mayong"
ngabingbangkeun,ngarasa mandeg
rahayu,"tingtrim,tentrem"
rahim,pianakan
rebut,candak
rakit,getek
rahayat,rayat
ngarahayat,ngarayat
ramal,nujum
ramat,ngaramat
tanda,"ciri,wates"
rambut,buuk
rambutan,buukan
rames,ramed
rampas,"rebut,jabel"
ngelengkehkeun,ngalangsingkeun
ngarampog,ngabegal
rengse,"anggeus,beres"
raraga,rarencang
ngarata,jadi rata
gede,agung
rayu,wujuk
genjring,terebang
leler,rerep
ngarerep,ngurangan
manteng,teu kendor
ngarapet,nempel
ngarapetkeun,nempelkeun
merebes,ngarembes
rancana,rarancang
nurunkeun,ngahandapkeun
renghat,"beulah,bencah,cacad"
ngarengkuh,ngarawu
beber,"narik,masang tali"
meberkeun,mantengkeun
meuntas,naratas
ngaruntuy,ngantay
mikir,ngahuleng
rangu,uduh
restu,idin
ngarestuan.ngidinan
rijki,rejeki
suka,"senang,gumbira"
ajrih,"rada era,kagok"
hampang,enteng
ngahampangkeun,ngentengkeun
muringis,nyengir
ngaringkuk,ngarengkol
ngariwayatkeun,ngagalurkeun
soek,soeh
gilinding,kikiping
roko,udud
ngaroko,ngudud
paroman,pasemon
rohang,rohangan
ngagimbung,ngariung
rukun,"dalit,akur"
mangrupa,mirip
ruksak,resak
kukulutus,gegelendeng
rudet,"lieur,puyeng"
saban,unggal
saban-saban,unggal-unggal
sabana,tegal jukut
beubeur,beulitan
adu,aben
nyipuh,"nyalin,narjamahkeun"
sipuhan,"salinan,tarjamahan"
panyipuh,nu narjamahkeun
sap,jajaran
ngajawab,"nembal,ngawalon,nempas"
jawaban,tembalan
saka,tihang
budug,rodek
nyeri,kanyenyerian
kasakit,"panyakit,kasawat,panyawat"
suci,karamat
sakaratul maot,sakarat
saku,pesak
solat,netepan
salin,ganti baju
teplak,tiron
saling,silih
nyiap,nyusul
silih siap,pasiap-siap
sarua,sami
sami-sami,"babarengan,rampak,sasarengan"
nyamar,nyaru
nyamarkeun,nyarukeun
ngaronda,ngaroris
nepikeun,ngadugikeun
nu nepikeun,nu ngadugikeun
katepi,kadugi
sanepina,sadugina
sampan,parahu leutik
samping,sinjang
samudra,"sagara,laut"
sapatemon,jima
nyimpang,sindang
gelung,sanggul
sangkal,bantah
ngait,"nyangkol,nyangsang,nyantel"
silih kait,silih cangkol
ngaitkeun,nyangkolkeun
sangsi,"asa-asa,cangcaya"
dahar,tuang
ngadahar,nuang
kadaharan,katuangan
adab,sopan
mikarunya,mikanyaah
tanya,taros
patanya,pataros
silih tanya,silih taros
nanya,naros
ditanya,ditaros
salempay,carecet
sarung,"sarangka,bungkus"
hijian,pasukan
saum,puasa
nyaah,deudeuh
keureut,sisit
ngeureut,nyisit
keureutan,sisitan
kakeureut,kasisit
sayur,angeun
sebar,awur
nyebar,"ngawur,nawurkeun"
nyebarkeun,"ngawurkeun,nawurkeun"
nyebut,nyebat
kasebut,kasebat
sedeng,meujeuhna
sadia,siap
saeutikna,sakedikna
sakabeh,sadaya
segi,"sisi,gigir"
nepi ka,dugi ka
seka,usap
nyeka,ngusap
nyekaan,ngusapan
pohara,kacida pisan
sakumna,sarerea
sakaligus,"bari,bareng"
sakongkol,sailon
ujug-ujug,ngadadak
ngabalad,ngahiji
sela-sela,sesela
salian,sajaba ti
salamet,wilujeng
kulit tipis,lamad
nganggeuskeun,"ngabereskeun,ngarengsekeun"
simbut,kampuh
selap,nyelap
pasulabreng,pasuliwer
solokan,susukan
solobong,borongsong
nangunjar,nyanghunjar
kurudung,"tiung,kukudung"
sangkut-paut,patula-patali
nyelendep,nyulundup
sakabeh,sakumna
nyulusup,nyelendep
binih,bibit
semanggi,surawung
kapaehan,kapiuhan
malulu,"ngan,wungkul,mung"
bari,sarta
mejen,"kabebeng,hese ngising"
ngadalingding,"meleber,melenghir"
sakuliah,sakabeh
heureut,heurin
muga-muga,mugia
kabeh,sadayana
kabungah,karesep
teu lancar,eureun-eureunan
sorangan,nyalira
sendok sayur,sinduk
sedih,"susah,nalangsa"
ngahaja,dihaja
lowong,salse
sore,"burit,sareupna"
sintreuk,ngeritik
raharga,ma'mur
tiiseun,"jempling,combrek"
imut,mesem
sepak,tajong
nyepak,najong
sapagodos,sapuk
siga,sapertos
kokolot,pinisepuh
saragam,"saules,sarua"
teu langkung,pasrah
peura,peuyeuh
balatak,pabalatak
sarakah,hawek
tepas,emper
rupa-rupa,warna-warni
sorbet,lap
soldadu,tantara
panyered,nu nyered
milu,ngiring
ngagero,ngajak
ngaladenan,ngomean
hanjakal,"handeueul,kaduhung"
kasasar,kasarung
sarua,"akur,saluyu"
istal,gedongan
setel,nyetel
satru,musuh
satia,tuhu
istrika,licinan
ngistrika,ngalicin
aliran listrik,setrum
sia-sia,"percumah,mubadir"
apes,"sue,naas"
beurang-beurang,siang-siang
kabeurangan,kasiangan
siap,sadia
siasat,taktik
riweuh,"paciweuh,loba gawe"
nalungtik,mariksa
tanginas,parigel
nyigeung,nyiku
sikep,"tagog,tangtunan"
sila,diuk
kaliwat,geus liwat
silang,cakra
silsilah,salsilah
simpen,teundeun
nyimpen,neundeun
sinar,cahaya
buburilakan,gugurilapan
pangeureunan,panyindangan
sigeung,toel
singkab,buka
nyingkabkeun,mukakeun
kasingkab,kabuka
singget,ringkes
singlet,kaos
sirik,ngewa
denok,montok
miring,sedeng
sipil,rahayat
sipit,petet
uman-imen,era
keong,"tenggek,tutut"
siram,cebor
nyirama,nyeboran
nyiramkeun,nyeborkeun
nu nyiram,tukang nyebor
siraman,ceboran
sirkeus,lais
sesep,"selip,selap"
nyesepkeun,nyelipkeun
kasisipkeun,kaselipkeun
sisir,pameres
situ,talaga
siwalan,lontar
skuter,motor
soal,sual
soeh,soek
soda,soldah
ngarojong,ngadeudeul
pangrojong,pangdeudeul
solder,patri
nyolder,matri
ngaluis,luas-luis
ngadangdanan,ngaluisan
dadakan,sepontan
stadion,setadion
tojos,tubles
juru,pojok
suhu,guru
suka teu suka,daek teu daek
mikaseneng,mikaresep
sasuka,saseneng
saresepna,sasenengna
ngahesekeun,nyusahkeun
kahesean,kasusahan
seke,suku
sumberna,asalna
sumpah,ucapan
heurin,eungap
sun,cium
walungan,wahangan
inggis,rempan
kainggisan,karempan
sangkan,"supaya,supados"
surat,serat
kasurat,kaserat
langgar,tajug
kasurupan,kasandingan
surya,panonpoe
sus,seus
susila,sopan
susun,entep
nyusun,"ngentep,ngentepan"
kasusun,kaentep
susunan,entepan
panyusun,pangentep
nyusur,mapay
nyusur-nyusur,mapay-mapay
susur,sisig
nyusur,nyisig
ngurangan,"ngariut,saat,ngabegangan"
sutradara,pangatur laku
hidmat,"mulya,agung"
tabir,hahalang
tabrak-tubruk,tatabrak
tabungan,teundeunan
sebaran,"nawuran,tawuran"
nyebaran,nawuran
kasebar,katawur
tadah cangkir,"tatakan,tadah gelas"
tadah mangkok,pisin
nadarus,ngaderes
nu nagih,tukang nagih
tahap,bagian
elmu pangaweruh,boga kanyaho
tajen,"citajen,darih"
takdir,"papasten,titis-tulis"
taktik,siasat
tambah,tambih
katempona,katingalna
nempokeun,ningalikeun
pinton,tembong
mintonkeun,nembongkeun
nyemah,namu
tanda,"alamat,ciri,ciciren"
tang,gegep
tangga,undakan
tanggal,kaping
kalender,almenak
tanggapan,waleran
nangguhkeun,nundakeun
katangguhkeun,katundakeun
ceurik,tangis
careurik,pada narangis
nyeungceurikkan,nangisan
rancinges,"parigel,riket,tanginas"
tatanya,tataros
nanyakeun,naroskeun
pertanyaan,panarosan
imbangan,nu sarua
tari,"igel,ibing"
nari,ngigel
tarian,igelan
nu nari,nu ngigel
tarip,harga
tas tonggong,ransel
seuri,gumujeng
seuri gede,barakatak
seuri leutik,"imut,mesem"
nawar,nawis
teguh,panceg
enteh,teh
rajin,tekun
teleg,neleg
kateleg,keteureuy
katalanjuran,kapalang
papanggih,patepang
manggih,mendak
tajong,sepak
najong,nyepak
katajong,kasepak
eunteup,"encle,nyengcle"
lieuk,longok
nentang,ngalawan
nengtremkeun,ningtrimkeun
katengtreman,katingtriman
tangtu,tangtos
nenung,nyihir
tenungan,sihiran
nu nenung,nu nyihir
tepat,pas
nepak data,nepak harigu
terbit,medal
terbitan,pedalan
gorowok,gerewek
tarima,tampi
narima,nampi
panarima,panampi
panarimaan,panampian
neguh,nerka
teguhan,terkaan
paneguh,panerka
toropong,keker
noropong,ngeker
terus,"tuluy,teras"
saterusna,saterasna
paeh,"modar,maot,pupus"
euweuh,teu aya
depa,ngadapang
sadatangna,"sadongkapna,satepina,sadugina"
nguleman,nyarean
ngulemkeun,nyarekeun
tumpuk,timbun
tinggal,linggih
jangkung,luhur
panggede,pajabat
boksen,tinju
hordeng,kasang
kawalon,tere
tiruan,tironan
titip,mihape
nitipkeun,mihapekeun
jamban,"kakus,kamar mandi"
iteuk,teteken
tonjol,togag
tongton,lalajo
tongtonan,lalajoan
nongtonkeun,mintonkeun
panongton,nu nongton
top,puncak
total,jumlah
panyalinan,alihbasa
transparan,"ngalangkan,tembus cahaya"
trayek,jurusan
tribun,panggung
tubruk,teunggar
nubruk,neunggar
tugas,mancen
nugasan,mancenan
nugaskeun,mapancenan
tukeur,liron
tulis,serat
nulis,nyerat
nulisan,nyeratan
nuliskeun,nyeratkeun
nu nulis,nu nyerat
tulisan,seratan
rungkad,roboh
tuwuhan,tangkal
tutuwuhan,"pepelakan,tatangkalan"
nutu,halu
bahe,tamplok
tumpes,basmi
numpes,ngabasmi
nu numpes,nu ngabasmi
ngalaksanakeun,ngajalankeun
pucuk,senggeh
tungkul,ngeluk
antos,tunggu
ngantosan,nungguan
suku,"sampean,cokor"
nyangga,nyokong
panyangga,panyokong
sanggaan,sokongan
nuntut,ngagugat
turun,lungsur
ngagugu,nurutkeun
nu ngagugu,nu nurut
tojos,"tubles,cocog"
nojos;nubles
nojoskeun,nubleskeun
katojos,katubles
ucapan,omongan
ngucapkeun,ngomongkeun
boga duit,gaduh artos
heuay,angob
udag,berik
huis,silalatu
ubin,tehel
hurang,udang
omongan,ucap
ngomongkeun,ngucapkeun
ngulang,malikan deui
milangkala,tepang taun
mutu,uleg
umur,yuswa
undi,lotre
ngundi,ngalotre
undian,lotrean
unguul,pinunjul
ronce,untuy
karonce,kauntuy
anggeus,"salse,beres dipigawe"
kedal,ngedalkeun
pere,"liburan,pakanci"
vaksinasi,vaksin
pas kembang,pot
liang hawa,cacarang
kecap pagawean,verba
jalan,liwat
pitamin,vitamin
wadah,tempat
wadal,kurban
banci,wandu
beungeut,riman,parangi,raray
katel,kawali
wajar,saujratna
wakil,sulur
waktu,waktos
sanajan,sanaos
wargi,warga
warna,warni
warta,wartos,kabar,beja,wawaran,berita
waslap,elap
waspada,waspados,ati-ati
leungeun,wastapel
wibawa,komara
wol,ewol
jarah,jiarah
